"ID","consumer","trait_name","r2","intercept","AIC","AICc","BIC","habitat","location","stage"
33,"cladophora glomerata","net photosynthesis rate",1,0.111078676,-Inf,-Inf,-Inf,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
34,"cladophora glomerata","respiration rate",0.938710525060075,0.091608989,-38.5211973270132,NA,-38.1239896186141,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
35,"cladophora glomerata","gross photosynthesis rate",0.572035872532174,0.15390842625,-14.3601682526345,-284.889148393652,-13.9629605442353,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
36,"cladophora glomerata","net photosynthesis rate",0.321272241178832,0.0885064813333333,-14.0432775941936,-177.007978211879,-15.0844802480533,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
37,"cladophora glomerata","respiration rate",0.348283981490731,0.100752966875,-28.4250280521296,-284.126666955217,-28.0278203437304,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
38,"cladophora glomerata","gross photosynthesis rate",0.715593247779172,0.17080223725,-17.4061949516631,-303.309829137604,-17.0089872432639,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
39,"cladophora glomerata","net photosynthesis rate",0.994060604396331,0.10597015,-44.8042639653268,-197.415162501852,-45.8454666191865,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
40,"cladophora glomerata","respiration rate",0.574034761993771,0.104580234875,-26.8952832819387,NA,-26.4980755735395,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
41,"cladophora glomerata","gross photosynthesis rate",0.87902215525866,0.1759153715,-20.6827416090086,NA,-20.2855339006094,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
42,"cladophora glomerata","net photosynthesis rate",0.997648804525425,0.0966965638333333,-46.1922901702669,-Inf,-47.2334928241266,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
43,"cladophora glomerata","respiration rate",0.890952996663085,0.141672162,-25.3385698100287,NA,-24.9413621016295,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
44,"cladophora glomerata","gross photosynthesis rate",0.544490776420234,0.193052297571429,-10.3601807171217,-232.631670601263,-10.6306299718451,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
45,"cladophora glomerata","net photosynthesis rate",0.945763633260584,0.0939890706,-22.179687457338,Inf,-24.1324978951675,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
46,"cladophora glomerata","respiration rate",0.453747222625837,0.153072605,-16.2112660229913,-280.186855074435,-15.8140583145921,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
47,"cladophora glomerata","gross photosynthesis rate",0.913105287806478,0.208160996714286,-16.4987468305072,-Inf,-16.7691960852307,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
48,"cladophora glomerata","net photosynthesis rate",0.880408798363308,0.0757255424,-17.8931396487308,Inf,-19.8459500865603,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
49,"cladophora glomerata","respiration rate",0.424424279253566,0.183530765,-13.9916154043132,NA,-13.594407695914,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
50,"picea sitchensis","net photosynthesis rate",0.994781792123886,74.973794,29.7485603262374,Inf,27.7957498884079,"terrestrial","neah bay, washington, usa","forest shoots"
51,"picea sitchensis","net photosynthesis rate",0.988213837317874,71.8523568,34.2389065058913,Inf,32.2860960680618,"terrestrial","neah bay, washington, usa","forest shoots"
52,"picea sitchensis","net photosynthesis rate",0.997564932154198,64.2319044,25.9053177477771,NA,23.9525073099476,"terrestrial","neah bay, washington, usa","forest shoots"
53,"picea sitchensis","net photosynthesis rate",0.999874169231366,11.1191736583333,-4.67600076603661,NA,-5.71720341989633,"terrestrial","baranof island, alaska, usa","seedlings"
54,"picea sitchensis","net photosynthesis rate",0.993895717390317,8.33958934166667,16.0051918449965,-170.029073353045,14.9639891911368,"terrestrial","queen charlotte island provenance, raised in denmark","seedlings, 3-4 years old"
55,"picea sitchensis","net photosynthesis rate",0.993610734012107,11.254674095,18.7166484680879,-166.964119610449,17.6754458142282,"terrestrial","masset, queen charlotte island","seedlings"
56,"picea sitchensis","net photosynthesis rate",0.998078991333518,7.59797063833333,8.70320129266287,-172.461864001694,7.66199863880315,"terrestrial","alberni, vancouver island, canada","seedlings"
57,"picea sitchensis","net photosynthesis rate",0.999201377270678,8.36660655,5.71144118848102,NA,4.67023853462129,"terrestrial","neah bay, washington, usa","seedlings"
58,"picea sitchensis","net photosynthesis rate",0.999895410758421,11.6288813571429,-6.10934793490584,NA,-6.37979718962928,"terrestrial","queen charlotte islands","shoot"
59,"picea sitchensis","net photosynthesis rate",0.95495435935294,1.81257918,5.58781007526847,-233.240750240191,5.31736082054504,"terrestrial","queen charlotte islands","shoot"
60,"picea sitchensis","net photosynthesis rate",0.996137641139416,7.67554214,17.5922747085855,-306.067115259056,18.5783975952666,"terrestrial","queen charlotte islands","shoot"
61,"picea sitchensis","net photosynthesis rate",0.971055316294649,1.445728956,4.46427456550674,NA,2.51146412767725,"terrestrial","queen charlotte islands","shoot"
62,"picea sitchensis","net photosynthesis rate",0.996012994199276,7.37279044,4.62914117507705,NA,2.67633073724755,"terrestrial","queen charlotte islands","shoot"
63,"picea sitchensis","net photosynthesis rate",0.997774485851943,6.416802974,6.26978969478408,NA,4.31697925695459,"terrestrial","queen charlotte islands","shoot"
65,"picea sitchensis","net photosynthesis rate",0.995770006581093,8.2066646,13.8860325525869,-Inf,14.283240260986,"terrestrial","neah bay, washington, usa","forest shoots"
66,"picea sitchensis","net photosynthesis rate",0.998283991415973,7.86279255,1.78144295501509,NA,0.740240301155364,"terrestrial","neah bay, washington, usa","forest shoots"
67,"picea sitchensis","net photosynthesis rate",1,8.128541175,-Inf,-Inf,-Inf,"terrestrial","neah bay, washington, usa","forest shoots"
68,"picea sitchensis","net photosynthesis rate",0.999497193533853,7.33100232166667,-0.475076488187749,-Inf,-1.51627914204748,"terrestrial","neah bay, washington, usa","forest shoots"
69,"picea sitchensis","net photosynthesis rate",0.985488250962424,6.27039631166667,16.6944243217661,NA,15.6532216679064,"terrestrial","neah bay, washington, usa","forest shoots"
70,"picea sitchensis","net photosynthesis rate",0.993322148847362,7.47044921666667,15.4188726100333,-158.954113210055,14.3776699561735,"terrestrial","neah bay, washington, usa","forest shoots"
71,"picea sitchensis","net photosynthesis rate",0.988278578478669,6.01823718571429,13.929754387307,-227.779640337344,13.6593051325836,"terrestrial","neah bay, washington, usa","forest shoots"
72,"picea sitchensis","net photosynthesis rate",0.984124865079987,6.99054759142857,18.2510811887043,-225.765865830181,17.9806319339809,"terrestrial","neah bay, washington, usa","forest shoots"
73,"picea sitchensis","net photosynthesis rate",1,0.2752977575,-Inf,-Inf,-Inf,"terrestrial","neah bay, washington, usa","forest shoots"
74,"picea sitchensis","net photosynthesis rate",0.989621738368152,8.11924647571428,14.9675271740535,NA,14.6970779193301,"terrestrial","neah bay, washington, usa","forest shoots"
75,"picea sitchensis","net photosynthesis rate",0.996255812456851,4.59680505,4.05962668795217,-170.029073353045,3.01842403409244,"terrestrial","neah bay, washington, usa","forest shoots"
76,"vitis vinifera","net photosynthesis rate",0.986971759965048,5.43530724444444,11.5301228195825,-317.341981975515,12.5162457062636,"terrestrial","merbein, victoria, australia","leaf"
77,"vitis vinifera","net photosynthesis rate",0.995982273229259,6.92334525714286,2.621340296754,NA,2.35089104203057,"terrestrial","merbein, victoria, australia","leaf"
78,"quercus pubescens","net photosynthesis rate",0.996366423550391,7.68175164,9.76853051356297,NA,7.81572007573348,"terrestrial","bern, switzerland","leaf"
79,"quercus pubescens","net photosynthesis rate",0.99918485663203,6.87678284444445,-2.1884462675689,-313.692796002541,-1.2023233808878,"terrestrial","bern, switzerland","leaf"
80,"triticum sativum","net photosynthesis rate",0.975034600990612,24.2288878571429,35.2319269060938,NA,34.9614776513704,"terrestrial","vancouver, british columbia, canada","shoots (10-14 days old)"
81,"triticum sativum","net photosynthesis rate",0.986926174076929,30.617337,36.1057748533417,-Inf,35.8353255986183,"terrestrial","vancouver, british columbia, canada","shoots (10-14 days old)"
82,"solanum tuberosum","net photosynthesis rate",0.987687217830476,24.6184362,24.9499841200001,Inf,22.9971736821706,"terrestrial","madison, wisconsin, usa","3rd leaf from top of plant at 6 leaf stage"
83,"coffea arabica","net photosynthesis rate",0.970900582070359,0.69456521375,-9.58186294712928,NA,-9.1846552387301,"terrestrial","nairobi, kenya","15 month-old seedlings"
84,"coffea arabica","net photosynthesis rate",0.959104138481247,0.351923927777778,-22.66628493919,NA,-21.6801620525089,"terrestrial","nairobi, kenya","15 month-old seedlings"
85,"picea engelmannii","net photosynthesis rate",0.953694073372386,2.23139732857143,-4.32308542572692,-230.617896094101,-4.59353468045036,"terrestrial","carbondale, colorado, usa","seedling"
86,"populus tremuloides","net photosynthesis rate",0.960204462507097,9.5947492,7.40044451236089,Inf,5.44763407453139,"terrestrial","northen minnesota, usa",NA
87,"populus tremuloides","net photosynthesis rate",0.516213194840729,10.382774,24.8073063165868,Inf,22.8544958787573,"terrestrial","northen minnesota, usa",NA
88,"betula papynfera","net photosynthesis rate",0.939546280956384,13.73399,8.48798764154362,Inf,6.53517720371412,"terrestrial","northen minnesota, usa",NA
89,"betula papynfera","net photosynthesis rate",0.834459772681788,16.9458128,16.1514947873017,Inf,14.1986843494722,"terrestrial","northen minnesota, usa",NA
90,"larix laricina","net photosynthesis rate",0.182413124525768,4.745679,20.0127610565808,Inf,18.0599506187513,"terrestrial","northen minnesota, usa",NA
91,"larix laricina","net photosynthesis rate",0.144046477866513,6.37530864,24.7203091435014,Inf,22.7674987056719,"terrestrial","northen minnesota, usa",NA
92,"pinus banksiana","net photosynthesis rate",0.918311628504167,3.98154952,8.01152716377252,NA,6.05871672594302,"terrestrial","northen minnesota, usa",NA
93,"pinus banksiana","net photosynthesis rate",0.946454691955368,4.91518308,4.74638238153872,NA,2.79357194370922,"terrestrial","northen minnesota, usa",NA
94,"picea mariana","net photosynthesis rate",0.704470085501528,3.68560696,10.2822385086533,Inf,8.3294280708238,"terrestrial","northen minnesota, usa",NA
95,"picea mariana","net photosynthesis rate",0.766324486756318,4.96995446,19.2971444592483,NA,17.3443340214188,"terrestrial","northen minnesota, usa",NA
96,"populus tremuloides","net photosynthesis rate",0.998260426986134,259.57949,24.3316542295892,NA,22.3788437917597,"terrestrial","northen minnesota, usa",NA
97,"populus tremuloides","net photosynthesis rate",0.900169645945058,234.978806,39.6740626568834,NA,37.7212522190539,"terrestrial","northen minnesota, usa",NA
98,"betula papynfera","net photosynthesis rate",0.599440500796532,281.535692,49.9658705801565,NA,48.013060142327,"terrestrial","northen minnesota, usa",NA
99,"betula papynfera","net photosynthesis rate",0.115802803797125,274.048006,54.7156185885345,NA,52.762808150705,"terrestrial","northen minnesota, usa",NA
100,"larix laricina","net photosynthesis rate",0.7543342613372,65.8809514,29.4581306636721,Inf,27.5053202258426,"terrestrial","northen minnesota, usa",NA
101,"larix laricina","net photosynthesis rate",0.460691199057412,80.8814088,40.7255911412118,NA,38.7727807033823,"terrestrial","northen minnesota, usa",NA
102,"pinus banksiana","net photosynthesis rate",0.948176626610208,59.41032,33.0126482009568,NA,31.0598377631273,"terrestrial","northen minnesota, usa",NA
103,"pinus banksiana","net photosynthesis rate",0.358788758847203,70.90909,44.0168669401627,NA,42.0640565023332,"terrestrial","northen minnesota, usa",NA
104,"picea mariana","net photosynthesis rate",0.732628977957156,61.0372654,32.1611111517164,NA,30.2083007138869,"terrestrial","northen minnesota, usa",NA
105,"picea mariana","net photosynthesis rate",0.997350406623166,73.027228,22.90936134936,Inf,20.9565509115305,"terrestrial","northen minnesota, usa",NA
106,"glycine max","respiration rate",0.965157335875692,2.8165485016,14.9901722934899,NA,21.0845514178309,"terrestrial","des moines, ia., usa","terminal leaflet of second trifoliate leaf (22 days after planting)"
107,"glycine max","gross photosynthesis rate",0.929494246962362,56.4749751052632,131.847269730193,-630.247831111581,136.569464626025,"terrestrial","des moines, ia., usa","terminal leaflet of second trifoliate leaf (22 days after planting)"
108,"quercus canariensis","respiration rate",0.792178604458915,0.920060333333333,7.88004874480868,-178.223123796548,6.83884609094896,"terrestrial","ain drahem, northern tunisia","mature current year leaves"
109,"quercus canariensis","net photosynthesis rate",0.984720003678393,12.8828031666667,12.7850233351412,-163.780350104076,11.7438206812815,"terrestrial","ain drahem, northern tunisia","mature current year leaves"
110,"sphagnum squarrosum","net photosynthesis rate",0.996997706921044,4.01051038571429,-14.6477248116138,-236.404646106392,-14.9181740663372,"terrestrial","philip smith mountains, alaska","upper shoot"
111,"sphagnum squarrosum","respiration rate",0.999451047795015,1.670917074,-11.1344143440303,NA,-13.0872247818598,"terrestrial","philip smith mountains, alaska","upper shoot"
112,"sphagnum angustifolium","net photosynthesis rate",0.987654161859546,2.808371725,-6.18036929476355,NA,-5.78316158636437,"terrestrial","philip smith mountains, alaska","upper shoot"
113,"sphagnum angustifolium","respiration rate",0.999977638587434,2.58439591833333,-28.4934534820192,-190.823488769844,-29.5346561358789,"terrestrial","philip smith mountains, alaska","upper shoot"
114,"sphagnum warnstorfii","net photosynthesis rate",0.996748792460683,2.55699664285714,-16.6084675747341,-243.61198202666,-16.8789168294576,"terrestrial","philip smith mountains, alaska","upper shoot"
115,"sphagnum warnstorfii","respiration rate",0.999987401363332,1.18550344066667,-41.2522890998226,-Inf,-42.2934917536824,"terrestrial","philip smith mountains, alaska","upper shoot"
116,"agropyron smithii","net photosynthesis rate",0.992313734113125,2.01099830666667,-19.6373679273436,NA,-17.2128346784036,"terrestrial","colorado, usa","leaf, 35 days old"
117,"agropyron smithii","net photosynthesis rate",0.97377350587512,2.89122552857143,-8.93728053356828,-514.846445772407,-5.74199388549198,"terrestrial","colorado, usa","leaf, 35 days old"
118,"agropyron smithii","net photosynthesis rate",0.978127397373325,3.94923860714286,-8.56838763208145,-502.332995508097,-5.37310098400515,"terrestrial","colorado, usa","leaf, 35 days old"
119,"nicotiana tabacum","net photosynthesis rate",0.977259701872173,10.43661972,17.9490193755556,NA,15.9962089377261,"terrestrial","beijing, china","Youngest fully expanded leaf"
120,"nicotiana tabacum","net photosynthesis rate",0.972795662073895,14.2957748,10.8522351626075,NA,8.89942472477804,"terrestrial","beijing, china","Youngest fully expanded leaf"
121,"nicotiana tabacum","net photosynthesis rate",0.973507535857719,12.9295772,14.71458272789,NA,12.7617722900605,"terrestrial","beijing, china","Youngest fully expanded leaf"
122,"nicotiana tabacum","net photosynthesis rate",0.978307009537235,13.680751,12.352851369969,NA,10.4000409321395,"terrestrial","beijing, china","Youngest fully expanded leaf"
123,"nicotiana tabacum","net photosynthesis rate",0.977395291451828,14.5633801,14.1487229365422,Inf,12.1959124987127,"terrestrial","beijing, china","Youngest fully expanded leaf"
124,"nicotiana tabacum","net photosynthesis rate",0.994159391299475,11.66666658,9.31073958910983,Inf,7.35792915128034,"terrestrial","beijing, china","Youngest fully expanded leaf"
125,"nicotiana tabacum","net photosynthesis rate",0.987170058415373,9.995,15.8798988321571,Inf,13.9270883943276,"terrestrial","beijing, china","Youngest fully expanded leaf"
126,"nicotiana tabacum","net photosynthesis rate",0.99967879365521,11.195,-4.85335431446681,NA,-6.80616475229631,"terrestrial","beijing, china","Youngest fully expanded leaf"
127,"nicotiana tabacum","net photosynthesis rate",0.999729445595374,12.25,-6.43559436661567,Inf,-8.38840480444517,"terrestrial","beijing, china","Youngest fully expanded leaf"
128,"nicotiana tabacum","net photosynthesis rate",0.983062545944067,13.17,12.3481450540325,NA,10.395334616203,"terrestrial","beijing, china","Youngest fully expanded leaf"
129,"nicotiana tabacum","net photosynthesis rate",0.994914763159459,13.555,5.10622703161342,NA,3.15341659378392,"terrestrial","beijing, china","Youngest fully expanded leaf"
130,"nicotiana tabacum","net photosynthesis rate",1,14.4,-344.294338121295,Inf,-346.247148559125,"terrestrial","beijing, china","Youngest fully expanded leaf"
132,"pinus sylvestris","net photosynthesis rate",0.982091965942552,2.484417962,6.62149785333974,NA,4.66868741551024,"terrestrial","finland","seedlings"
133,"pinus sylvestris","net photosynthesis rate",0.987143723548941,5.046892764,12.9273508185334,NA,10.9745403807039,"terrestrial","finland","seedlings"
137,"picea abies","net photosynthesis rate",0.999041917416076,1.0293532604,-15.6510815327969,Inf,-17.6038919706264,"terrestrial","finland","seedlings"
138,"gossypium hirsutum","net photosynthesis rate",0.993853806125133,26.0232605714286,18.3282979366653,-235.46992635802,18.0578486819419,"terrestrial","stanford, california, usa","leaf"
139,"geraea canescens","net photosynthesis rate",0.971039244394031,43.2375811275,38.8665411838203,NA,39.2637488922195,"terrestrial","death valley, california, usa",NA
140,"geraea canescens","net photosynthesis rate",0.975719730381521,45.870394313,57.6157970114076,-324.555984472065,59.1287224763779,"terrestrial","death valley, california, usa",NA
141,"flaveria bidentis","net photosynthesis rate",0.986887731321425,28.59066025,43.4156416731145,-246.072906282295,43.8128493815137,"terrestrial","winnipeg, canada","leaf"
142,"arabidopsis","net photosynthesis rate",0.998626754121904,13.1204838375,-11.0823054430002,NA,-7.21936183180134,"terrestrial","urbana, illinois, usa",NA
143,"porphyra perforata","net photosynthesis rate",0.87907701449241,2.52639445625,20.8968000471225,-292.219474248645,21.2940077555217,"marine","pacific grove, california, usa","blade discs"
144,"Koliella antarctica","gross photosynthesis rate",0.959060914026861,69.8571428571429,52.5417311957508,NA,52.2712819410274,"marine","Terra Nova Bay, Ross Sea, Antarctica",NA
145,"Koliella antarctica","respiration rate",0.980697875933167,12.5714285714286,22.6076241182471,NA,22.3371748635236,"marine","Terra Nova Bay, Ross Sea, Antarctica",NA
146,"Chlorella saccharophila","gross photosynthesis rate",0.985709953343701,57.7285714285714,41.9564479647995,NA,41.6859987100761,"freshwater / terrestrial","Antelao glacier",NA
147,"Chlorella saccharophila","respiration rate",0.950857689258212,15.9428571428571,34.5929793155947,-218.075579809504,34.3225300608712,"freshwater / terrestrial","Antelao glacier",NA
148,"Chlorella sorokiniana","gross photosynthesis rate",0.980657710833637,68.15,60.0120484287474,-258.948409581768,60.4092561371466,"freshwater / terrestrial","Culture collection of Algae and protozoa Cambridge University",NA
149,"Chlorella sorokiniana","respiration rate",0.899530516431925,2.7,21.5694092247145,NA,21.2989599699911,"freshwater / terrestrial","Culture collection of Algae and protozoa Cambridge University",NA
150,"Agave deserti","respiration rate",0.981975543283172,2.14706439461539,3.79782756742978,NA,6.62257435473747,"terrestrial","Agave Hill, palm desert, california","root (2 years old)"
151,"Agave deserti","respiration rate",0.996286744325659,2.44013877428571,-3.37833026585229,-237.483700865183,-3.64877952057572,"terrestrial","Agave Hill, palm desert, california","root (2 years old)"
152,"Agave deserti","respiration rate",0.968704415038728,7.65236747857143,43.4804397232019,NA,46.6757263712782,"terrestrial","Agave Hill, palm desert, california","root (5 weeks old)"
153,"Agave deserti","respiration rate",0.942378679116626,7.27643002727273,40.659075848327,NA,42.6485522123189,"terrestrial","Agave Hill, palm desert, california","root (5 weeks old)"
154,"Agave deserti","respiration rate",0.923090795203583,9.22458439333333,63.0554873979717,-518.625421235528,66.5957384034828,"terrestrial","Agave Hill, palm desert, california","root (6 weeks old)"
155,"Agave deserti","respiration rate",0.977477691532357,8.48744354285714,47.4004353768044,NA,50.5957220248807,"terrestrial","Agave Hill, palm desert, california","root (6 weeks old)"
156,"Agave deserti","respiration rate",0.975732488371955,17.9620016681818,90.8526053994037,-764.945292184025,96.3078176661952,"terrestrial","Agave Hill, palm desert, california","root (1 week old)"
157,"Agave deserti","respiration rate",0.9694586522026,17.2029203818182,97.7652257213153,-736.361066533159,103.220437988107,"terrestrial","Agave Hill, palm desert, california","root (1 week old)"
158,"Carex aquatilis","net photosynthesis rate",0.974833123967673,13.966131,20.174378947262,NA,20.5715866556612,"terrestrial","muskeg at Circle Hot Springs, Alaska","leaf"
159,"Carex aquatilis","net photosynthesis rate",0.971332191053294,13.8155290444444,30.9624061261204,-Inf,31.9485290128015,"terrestrial","muskeg at Circle Hot Springs, Alaska","leaf"
160,"Carex aquatilis","net photosynthesis rate",0.988633552784219,12.5319866625,15.0228496700416,NA,15.4200573784408,"terrestrial","hot spring marsh at Circle Hot Springs, Alaska","leaf"
161,"Carex aquatilis","net photosynthesis rate",0.982373489097807,11.9661755444444,18.8038269256219,NA,19.789949812303,"terrestrial","hot spring marsh at Circle Hot Springs","leaf"
162,"Carex aquatilis","net photosynthesis rate",0.930640780485829,10.6038105,27.3096774338588,-261.249866161382,27.706885142258,"terrestrial","alpine site near Boulder, Colorado","leaf"
163,"Carex aquatilis","net photosynthesis rate",0.905426330633979,8.8815923125,21.2883127481067,-264.493587026247,21.6855204565059,"terrestrial","alpine site near Boulder, Colorado","leaf"
164,"Carex aquatilis","net photosynthesis rate",0.983027816336145,12.354025075,21.8399097461873,NA,22.2371174545864,"terrestrial","subalpine near Boulder, Colorado","leaf"
165,"Carex aquatilis","net photosynthesis rate",0.984156714178384,8.43915333333333,15.8307482959019,-317.341981975515,16.816871182583,"terrestrial","subalpine near Boulder, Colorado","leaf"
166,"Carex aquatilis","net photosynthesis rate",0.964829503949685,21.7358871428571,28.5977680992117,NA,28.3273188444883,"terrestrial","muskeg ar Circle Hot Springs, Alaska","leaf"
167,"Carex aquatilis","net photosynthesis rate",0.983799053648856,18.9602685555556,32.8519637675602,-304.865332725436,33.8380866542413,"terrestrial","muskeg ar Circle Hot Springs, Alaska","leaf"
168,"Carex aquatilis","net photosynthesis rate",0.97579880134303,17.8774005,27.3100621144537,NA,27.7072698228528,"terrestrial","hot spring marsh at Circle Hot Springs, Alaska","leaf"
169,"Carex aquatilis","net photosynthesis rate",0.992201018522121,16.728953125,17.4056381410643,NA,17.8028458494635,"terrestrial","hot spring marsh at Circle Hot Springs","leaf"
170,"Carex aquatilis","net photosynthesis rate",0.997965168474924,16.859331,4.85474207871117,NA,4.58429282398773,"terrestrial","alpine site near Boulder, Colorado","leaf"
171,"Carex aquatilis","net photosynthesis rate",0.990594230039378,12.92393575,8.71455287255944,NA,9.11176058095862,"terrestrial","alpine site near Boulder, Colorado","leaf"
172,"Carex aquatilis","net photosynthesis rate",0.992015347614818,19.1066031428571,20.624792622943,NA,20.3543433682195,"terrestrial","subalpine near Boulder, Colorado","leaf"
173,"Carex aquatilis","net photosynthesis rate",0.994295358658485,12.0945834375,14.8256414558067,-258.463412607236,15.2228491642059,"terrestrial","subalpine near Boulder, Colorado","leaf"
174,"Acer saccharum","net photosynthesis rate",0.946589164326236,12.7523232428571,28.5175426472048,-214.499800443142,28.2470933924813,"terrestrial","hubbard brook, experimental forest, west thornton, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
