"ID","trait_name","trait_value","trait_unit","consumer","habitat","location","stage","temp","lnB","tran_kT","tran_kTT"
3,"gross photosynthesis rate",1.9566358,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",297.703116,0.671226569919698,-39.0133701466003,2.00517782551443
3,"gross photosynthesis rate",1.9179629,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",297.703661,0.651263633208474,-39.013298725622,2.0052492464928
3,"gross photosynthesis rate",1.9792747,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",298.680449,0.682730464466087,-38.8857117939591,2.13283617815568
3,"gross photosynthesis rate",1.7306635,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",298.68396,0.548504860993947,-38.8852546963161,2.13329327579865
3,"gross photosynthesis rate",2.406358,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",301.71911,0.878114401163623,-38.4940876244276,2.52446034768722
3,"gross photosynthesis rate",1.8997376,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",304.715092,0.641715771371827,-38.1156108221391,2.90293714997572
3,"gross photosynthesis rate",1.8334414,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",304.716029,0.606194747287646,-38.1154936168596,2.9030543552552
4,"gross photosynthesis rate",0.5994599,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",291.158036,-0.51172619582597,-39.8903702534396,1.12817771867518
4,"gross photosynthesis rate",1.1262809,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",294.726015,0.118920965746065,-39.4074539307441,1.61109404137066
4,"gross photosynthesis rate",1.5870371,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",298.713921,0.461868818712738,-38.8813545060871,2.13719346602767
4,"gross photosynthesis rate",1.5538889,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",298.71439,0.440760756468222,-38.8812934599645,2.13725451215023
4,"gross photosynthesis rate",1.737855,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",301.70062,0.55265159413379,-38.4964467699944,2.52210120212041
4,"gross photosynthesis rate",1.9036111,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",301.72621,0.643752661304762,-38.4931818097748,2.52536616233996
4,"gross photosynthesis rate",1.7947686,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",304.716574,0.584876099981139,-38.1154254454971,2.90312252661769
5,"respiration rate",0.42534262,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",291.625464,-0.854860270128067,-39.826432503522,1.19211546859273
5,"respiration rate",0.4537302,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",291.678875,-0.790252530718807,-39.819139655912,1.19940831620278
5,"respiration rate",0.5859876,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",294.64727,-0.534456650038565,-39.4179856419654,1.60056233014939
5,"respiration rate",0.67818534,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",294.646439,-0.388334665566694,-39.4180968136672,1.60045115844754
5,"respiration rate",0.6934353,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",297.651667,-0.366097338460527,-39.0201135957498,1.99843437636495
5,"respiration rate",0.728896,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",297.651347,-0.316224218330251,-39.0201555456233,1.99839242649147
5,"respiration rate",0.6831651,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",298.689328,-0.381018720950738,-38.8845558563254,2.13399211578938
5,"respiration rate",0.79663914,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",298.688303,-0.22735347562289,-38.8846892953297,2.13385867678506
5,"respiration rate",1.0920284,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",301.691004,0.088036884310536,-38.4976737930982,2.52087417901653
5,"respiration rate",1.123943,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",301.690716,0.116843038441843,-38.4977105437487,2.52083742836606
5,"respiration rate",1.1214689,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",304.713993,0.114639343875834,-38.1157482922168,2.90279967989802
5,"respiration rate",1.2845752,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",304.676745,0.250428080034773,-38.1204081010656,2.89813987104918
6,"respiration rate",0.12040003,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",291.681883,-2.11693549693801,-39.8187290168594,1.19981895525534
6,"respiration rate",0.14875586,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",291.64585,-1.90544884037438,-39.8236486420235,1.19489933009125
6,"respiration rate",0.19948554,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",294.704426,-1.61201352648212,-39.4103407809162,1.60820719119858
6,"respiration rate",0.28458476,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",294.685769,-1.25672414360065,-39.4128359089654,1.60571206314933
6,"respiration rate",0.2966439,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",298.692816,-1.21522284944188,-38.8841017800184,2.13444619209641
6,"respiration rate",0.3296179,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",301.679995,-1.10982117416903,-38.4990786621576,2.51946930995722
6,"respiration rate",0.40407893,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",301.661435,-0.906145048816343,-38.5014473537338,2.51710061838095
6,"respiration rate",0.3874397,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",304.738507,-0.948195055200905,-38.1126821570478,2.90586581506694
7,"net photosynthesis rate",2.3138685,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",283.15,0.838920799153255,-41.0185479721148,0
7,"net photosynthesis rate",2.678832,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",288.15,0.985380878629714,-40.3067911098535,0.711756862261232
7,"net photosynthesis rate",2.5766423,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",293.15,0.946487117224152,-39.6193138608368,1.39923411127801
7,"net photosynthesis rate",2.240876,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",298.15,0.806866860847019,-38.9548947117367,2.06365326037808
7,"net photosynthesis rate",1.0583942,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",303.15,0.0567528538338281,-38.312392737273,2.70615523484182
8,"net photosynthesis rate",20.370394,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",297.15,3.01408257222151,-39.0859897637701,1.93255820834463
8,"net photosynthesis rate",20.845682,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",300.15,3.03714682847565,-38.6953251984151,2.32322277369966
8,"net photosynthesis rate",21.29334,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",303.15,3.05839434776569,-38.312392737273,2.70615523484182
8,"net photosynthesis rate",21.297493,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",306.15,3.05858936625773,-37.9369650769371,3.08158289517766
8,"net photosynthesis rate",20.830511,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",309.15,3.03641878689709,-37.5688237370348,3.44972423508001
8,"net photosynthesis rate",19.587458,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",312.15,2.97488946345521,-37.2077586362463,3.81078933586843
8,"net photosynthesis rate",18.095148,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",315.15,2.89564383603724,-36.853567692541,4.16498027957377
8,"net photosynthesis rate",16.574955,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",318.15,2.80789282113611,-36.5060564460295,4.51249152608524
9,"net photosynthesis rate",28.546692,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",301.258624,3.35154106248876,-38.5529273953807,2.46562057673406
9,"net photosynthesis rate",32.377274,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",302.115866,3.47745675693527,-38.4435349658343,2.57501300628051
9,"net photosynthesis rate",30.252504,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",306.04729,3.40957895791054,-37.9496967880496,3.06885118406513
9,"net photosynthesis rate",29.781704,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",308.422137,3.39389424522936,-37.6574845478887,3.36106342422612
9,"net photosynthesis rate",28.517775,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",309.719103,3.35052757707496,-37.4997917332348,3.51875623887997
9,"net photosynthesis rate",28.525532,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",310.66873,3.35079954588097,-37.3851654085183,3.63338256359652
9,"net photosynthesis rate",25.193962,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",310.889834,3.22660436263335,-37.3585771810869,3.65997079102786
9,"net photosynthesis rate",24.019608,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",311.150687,3.17887049678511,-37.3272576393325,3.6912903327823
9,"net photosynthesis rate",21.95902,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",310.93812,3.08917798905173,-37.352775717253,3.66577225486178
9,"net photosynthesis rate",26.772465,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",312.095965,3.28737393398043,-37.2142006331428,3.80434733897202
9,"net photosynthesis rate",23.736423,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",312.489264,3.16701070386107,-37.1673628387575,3.85118513335723
10,"net photosynthesis rate",43.840458,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",301.191237,3.78055708966548,-38.561553031851,2.4569949402638
10,"net photosynthesis rate",47.1812,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",302.092421,3.85399550816222,-38.446518518597,2.57202945351779
10,"net photosynthesis rate",52.212936,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",305.969344,3.95533028027921,-37.9593645117084,3.05918346040638
10,"net photosynthesis rate",53.80131,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",308.384093,3.98529781631367,-37.6621301874487,3.35641778466604
10,"net photosynthesis rate",54.204403,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",309.721587,3.99276214130848,-37.4994909809251,3.51905699118971
10,"net photosynthesis rate",50.878826,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",310.676493,3.92944684486629,-37.3842312501715,3.63431672194324
10,"net photosynthesis rate",49.99965,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",311.066374,3.91201600540365,-37.3373750076384,3.68117296447638
10,"net photosynthesis rate",48.233532,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",310.89651,3.87605446382747,-37.3577749660306,3.66077300608413
10,"net photosynthesis rate",53.831287,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",312.05311,3.98585484088821,-37.2193113483288,3.79923662378597
10,"net photosynthesis rate",41.468826,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",310.907225,3.72494196423615,-37.3564874804833,3.6620604916315
10,"net photosynthesis rate",41.971718,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",312.460383,3.7369960105082,-37.1707982522197,3.84774971989508
11,"net photosynthesis rate",0.18,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",273.15,-1.71479842809193,-42.5202337847494,-1.50168581263463
11,"net photosynthesis rate",0.17,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",278.15,-1.77195684193188,-41.7558937922139,-0.737345820099129
11,"net photosynthesis rate",0.27,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",283.15,-1.30933331998376,-41.0185479721148,0
11,"net photosynthesis rate",0.7,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",288.15,-0.356674943938732,-40.3067911098535,0.711756862261232
11,"net photosynthesis rate",0.68,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",293.15,-0.385662480811985,-39.6193138608368,1.39923411127801
11,"net photosynthesis rate",0.95,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",298.15,-0.0512932943875506,-38.9548947117367,2.06365326037808
11,"net photosynthesis rate",0.84,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",303.15,-0.174353387144778,-38.312392737273,2.70615523484182
11,"net photosynthesis rate",0.68,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",308.15,-0.385662480811985,-37.690741062159,3.32780690995577
12,"respiration rate",0.028,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",273.15,-3.57555076880693,-42.5202337847494,-1.50168581263463
12,"respiration rate",0.014,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",278.15,-4.26869794936688,-41.7558937922139,-0.737345820099129
12,"respiration rate",0.028,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",283.15,-3.57555076880693,-41.0185479721148,0
12,"respiration rate",0.073,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",288.15,-2.61729583783375,-40.3067911098535,0.711756862261232
12,"respiration rate",0.23,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",293.15,-1.46967597005894,-39.6193138608368,1.39923411127801
12,"respiration rate",0.16,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",298.15,-1.83258146374831,-38.9548947117367,2.06365326037808
12,"respiration rate",0.22,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",303.15,-1.51412773262978,-38.312392737273,2.70615523484182
12,"respiration rate",0.31,"micromol o2 dm^-2 min^-1","zostera marina","marine","great harbor, woods hole, massachusetts, usa","leaf",308.15,-1.17118298150295,-37.690741062159,3.32780690995577
13,"net photosynthesis rate",39.676495,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",283.337331,3.68075894686198,-40.9914281937818,0.0271197783329313
13,"net photosynthesis rate",44.553535,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",286.844826,3.79669149981487,-40.4901912307956,0.528356741319143
13,"net photosynthesis rate",56.233273,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",291.375931,4.02950862797275,-39.8605396761625,1.15800829595224
13,"net photosynthesis rate",67.91048,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",295.51574,4.21819036727919,-39.3021429528738,1.71640501924094
13,"net photosynthesis rate",78.41929,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",299.13722,4.3620699430104,-38.8263348115099,2.19221316060487
13,"net photosynthesis rate",92.61479,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",302.35663,4.52844884812084,-38.4129227075467,2.60562526456807
13,"net photosynthesis rate",97.48508,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",304.820668,4.57969934065316,-38.1024093100678,2.91613866204693
13,"net photosynthesis rate",91.85669,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",305.22841,4.5202296451546,-38.0515098784687,2.96703809364607
13,"net photosynthesis rate",99.07052,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",309.77256,4.59583191978513,-37.4933204487328,3.52522752338201
13,"net photosynthesis rate",105.69255,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",312.883654,4.66053440789455,-37.1205133595899,3.8980346125249
13,"net photosynthesis rate",103.38109,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",315.75997,4.63842206333777,-36.7823757340245,4.23617223809029
13,"net photosynthesis rate",97.18116,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",317.865034,4.57657686551899,-36.538784125291,4.47976384682373
13,"net photosynthesis rate",90.21468,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",321.537554,4.502192163272,-36.1214474446873,4.8971005274275
13,"net photosynthesis rate",41.938152,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",332.76551,3.73619596155591,-34.9026612112064,6.11588676090842
14,"respiration rate",1.8847344,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",280.6609587,0.633786909115611,-41.382320904558,-0.363772932443219
14,"respiration rate",1.6094184,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",290.077473,0.475872871496652,-40.0389652398285,0.979582732286254
14,"respiration rate",5.3243484,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",295.017306,1.67229033791095,-39.368544224671,1.65000374744378
14,"respiration rate",6.6044364,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",299.235,1.88774160503755,-38.8136476625538,2.20490030956093
14,"respiration rate",7.2090826,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",302.55454,1.97534170325665,-38.3877956625747,2.63075230954003
14,"respiration rate",9.947558,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",304.89161,2.29732709391266,-38.0935436639411,2.92500430817368
14,"respiration rate",8.790183,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",308.476843,2.173635530593,-37.650806282092,3.36774169002281
14,"respiration rate",16.04489,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",312.347205,2.77539041882003,-37.1842669708035,3.83428100131125
14,"respiration rate",21.168388,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",317.110358,3.05250893675866,-36.6257410560657,4.39280691604906
14,"respiration rate",22.066181,"mg co2 dm^-2 h^-1","cenchrus ciliaris","terrestrial","queensland, australia","youngest fully expanded leaf",322.40355,3.09404616496921,-36.0244229888421,4.9941249832727
15,"net photosynthesis rate",31.91308,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",283.881744,3.46301595709888,-40.9128170577404,0.105730914374362
15,"net photosynthesis rate",35.231697,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",286.611183,3.56194616036705,-40.523198490494,0.495349481620785
15,"net photosynthesis rate",40.299526,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",289.59638,3.69633970709687,-40.1054801109886,0.913067861126166
15,"net photosynthesis rate",46.733303,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",293.62107,3.84445703685942,-39.5557507446734,1.46279722744138
15,"net photosynthesis rate",51.224537,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",297.520995,3.93621865552872,-39.037251331807,1.98129664030776
15,"net photosynthesis rate",54.71875,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",297.380354,4.00220642948613,-39.0557133384282,1.96283463368658
15,"net photosynthesis rate",52.98726,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",299.863673,3.97005150729836,-38.7322737099412,2.28627426217359
15,"net photosynthesis rate",56.49076,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",301.157788,4.03407708495529,-38.5658359872941,2.45271198482064
15,"net photosynthesis rate",53.59172,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",303.253212,3.98139457853192,-38.2993531435515,2.71919482856325
15,"net photosynthesis rate",54.780376,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",306.901915,4.00333202763029,-37.8440188563317,3.17452911578311
15,"net photosynthesis rate",54.991432,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",309.509993,4.00717739127904,-37.5251272042266,3.49342076788814
15,"net photosynthesis rate",53.843296,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",312.122042,3.98607790188766,-37.2110914816593,3.8074564904555
15,"net photosynthesis rate",50.74502,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",313.43544,3.9268134850282,-37.0551647200594,3.96338325205537
15,"net photosynthesis rate",51.532677,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",315.12879,3.94221611131096,-36.8560481519454,4.16249982016935
15,"net photosynthesis rate",45.147865,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",318.669176,3.80994299192323,-36.4465807584236,4.5719672136912
15,"net photosynthesis rate",31.975552,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",323.533736,3.46497161080299,-35.8985804754046,5.1199674967102
16,"respiration rate",4.2750015,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",282.907678,1.45278445326585,-41.0536820365275,-0.035134064412695
16,"respiration rate",7.2646704,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",288.6533,1.98302292778936,-40.2365116155066,0.782036356608224
16,"respiration rate",6.814201,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",292.060511,1.91900881689588,-39.7671079138265,1.25144005828832
16,"respiration rate",12.634118,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",297.004366,2.53640093230942,-39.105155303691,1.91339266842373
16,"respiration rate",14.964078,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",301.31375,2.70565252898234,-38.5458740542186,2.47267391789622
16,"respiration rate",19.752478,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",305.538145,2.98327895183107,-38.0129356951627,3.00561227695207
16,"respiration rate",24.569721,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",308.77605,3.20151483115726,-37.6143222840771,3.4042256880377
16,"respiration rate",29.303057,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",314.883746,3.37769184505155,-36.8847297005426,4.13381827157222
16,"respiration rate",30.86318,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",321.523497,3.4295638876404,-36.1230266735507,4.89552129856408
16,"respiration rate",41.19933,"mg co2 dm^-2 h^-1","calopogonium mucunoides","terrestrial","queensland, australia","youngest fully expanded leaf",328.000643,3.71842199408733,-35.4096923471711,5.60885562494368
