"ID","consumer","trait_name","r2","intercept","AIC","BIC","habitat","location","stage"
16,"calopogonium mucunoides","respiration rate",0.980035524915259,19.16398349,46.1507759036453,47.3611162756215,"terrestrial","queensland, australia","youngest fully expanded leaf"
17,"collema tenax","net photosynthesis rate",0.706159857373228,3.38265428571429,25.0248590511247,24.8084996473459,"terrestrial","moab, utah, usa",NA
18,"collema tenax","respiration rate",0.987166623907438,1.32020065714286,-5.90457663284501,-6.12093603662376,"terrestrial","moab, utah, usa",NA
19,"psora cerebriformis","net photosynthesis rate",0.9105405303997,2.89607851428571,9.93678907608551,9.72042967230676,"terrestrial","moab, utah, usa",NA
20,"psora cerebriformis","respiration rate",0.99547969571516,1.86293912,-8.45476820232177,-8.13700203560243,"terrestrial","moab, utah, usa",NA
21,"diploschistes diacapsis","net photosynthesis rate",0.961192967514094,1.78013695714286,-12.451036286799,-12.6673956905777,"terrestrial","moab, utah, usa",NA
22,"diploschistes diacapsis","respiration rate",0.995198467122536,1.58667880571429,-9.02005632512598,-9.23641572890473,"terrestrial","moab, utah, usa",NA
23,"deschampsia antarctica","net photosynthesis rate",0.976549662194246,13.6903352557143,25.3210790489602,25.1047196451814,"terrestrial","stepping stone islands, west coast of antarctic peninsula","leaf"
24,"larrea tridentata","net photosynthesis rate",0.991325906939241,21.5928365714286,18.3404958013221,18.1241363975433,"terrestrial","phoenix arizona","leaf"
25,"spinacia oleracea","gross photosynthesis rate",0.972741452487313,81.17913675,77.6175301021527,79.5571567013047,"terrestrial","dusseldorf, germany","chloroplast"
26,"cladophora glomerata","gross photosynthesis rate",0.430411939234417,0.0259542985,-31.2429311644854,-32.0758932875732,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
28,"cladophora glomerata","respiration rate",0.750423224927735,0.05947931875,-38.6982646287416,-38.3804984620222,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
29,"cladophora glomerata","gross photosynthesis rate",0.732458104831101,0.0379305655,-46.4967153934537,-46.1789492267344,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
31,"cladophora glomerata","respiration rate",0.985460762740173,0.071480117875,-51.9833820689376,-51.6656159022182,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
32,"cladophora glomerata","gross photosynthesis rate",0.647642915162526,0.116355952875,-18.2350314654321,-17.9172652987127,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
33,"cladophora glomerata","net photosynthesis rate",0.880472537888097,0.111078676,-15.1337731507978,-17.5885957063183,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
34,"cladophora glomerata","respiration rate",0.772254136931877,0.091608989,-30.0202193992231,-29.7024532325038,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
35,"cladophora glomerata","gross photosynthesis rate",0.572008944201394,0.15390842625,-16.3596648929948,-16.0418987262755,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
36,"cladophora glomerata","net photosynthesis rate",0.26856448992087,0.0885064813333333,-15.5945438791381,-16.4275060022259,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
37,"cladophora glomerata","respiration rate",0.347767105039499,0.100752966875,-30.4186857609805,-30.1009195942611,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
38,"cladophora glomerata","gross photosynthesis rate",0.71426589243341,0.17080223725,-19.3689449922222,-19.0511788255028,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
39,"cladophora glomerata","net photosynthesis rate",0.568079183662102,0.10597015,-21.0844545775925,-21.9174167006803,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
40,"cladophora glomerata","respiration rate",0.488126902744487,0.104580234875,-27.425531318902,-27.1077651521826,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
41,"cladophora glomerata","gross photosynthesis rate",0.87871634878091,0.1759153715,-22.6625448120583,-22.344778645339,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
42,"cladophora glomerata","net photosynthesis rate",0.551253319837721,0.0966965638333333,-16.6830823877645,-17.5160445108523,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
43,"cladophora glomerata","respiration rate",0.821430652349408,0.141672162,-23.3929856863256,-23.0752195196062,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
44,"cladophora glomerata","gross photosynthesis rate",0.541033828943405,0.193052297571429,-12.3072569364506,-12.5236163402294,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
45,"cladophora glomerata","net photosynthesis rate",0.910090416474082,0.0939890706,-21.6524230504968,-23.2146714007604,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
46,"cladophora glomerata","respiration rate",0.450836830903004,0.153072605,-18.1687557991017,-17.8509896323824,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
47,"cladophora glomerata","gross photosynthesis rate",0.912913954006772,0.208160996714286,-18.4833504481504,-18.6997098519291,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
48,"cladophora glomerata","net photosynthesis rate",0.730502938148307,0.0757255424,-15.8307485778825,-17.3929969281461,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
49,"cladophora glomerata","respiration rate",0.424379511245907,0.183530765,-15.9909931922898,-15.6732270255704,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
50,"picea sitchensis","net photosynthesis rate",0.991330782148052,74.973794,30.2866830731036,28.72443472284,"terrestrial","neah bay, washington, usa","forest shoots"
51,"picea sitchensis","net photosynthesis rate",0.956713939627763,71.8523568,38.7434288184042,37.1811804681406,"terrestrial","neah bay, washington, usa","forest shoots"
52,"picea sitchensis","net photosynthesis rate",0.996589268068752,64.2319044,25.5900792075718,24.0278308573082,"terrestrial","neah bay, washington, usa","forest shoots"
53,"picea sitchensis","net photosynthesis rate",0.989229869433076,11.1191736583333,20.0215632050942,19.1886010820065,"terrestrial","baranof island, alaska, usa","seedlings"
54,"picea sitchensis","net photosynthesis rate",0.989369088709939,8.33958934166667,17.3338437938358,16.500881670748,"terrestrial","queen charlotte island provenance, raised in denmark","seedlings, 3-4 years old"
55,"picea sitchensis","net photosynthesis rate",0.993591198760008,11.254674095,16.7349655469933,15.9020034239055,"terrestrial","masset, queen charlotte island","seedlings"
56,"picea sitchensis","net photosynthesis rate",0.948224670994714,7.59797063833333,26.4675814920367,25.6346193689489,"terrestrial","alberni, vancouver island, canada","seedlings"
57,"picea sitchensis","net photosynthesis rate",0.946891079557139,8.36660655,28.8947103727436,28.0617482496558,"terrestrial","neah bay, washington, usa","seedlings"
58,"picea sitchensis","net photosynthesis rate",0.963787033580311,11.6288813571429,32.8205748660368,32.6042154622581,"terrestrial","queen charlotte islands","shoot"
59,"picea sitchensis","net photosynthesis rate",0.87924604531072,1.81257918,10.4903618899241,10.2740024861454,"terrestrial","queen charlotte islands","shoot"
60,"picea sitchensis","net photosynthesis rate",0.965508836858496,7.67554214,35.2971001567375,36.0859984660823,"terrestrial","queen charlotte islands","shoot"
61,"picea sitchensis","net photosynthesis rate",0.863168050985327,1.445728956,10.2311094320821,8.6688610818185,"terrestrial","queen charlotte islands","shoot"
62,"picea sitchensis","net photosynthesis rate",0.981185928268655,7.37279044,10.3869639895414,8.82471563927782,"terrestrial","queen charlotte islands","shoot"
63,"picea sitchensis","net photosynthesis rate",0.982566127024279,6.416802974,14.5619250440418,12.9996766937782,"terrestrial","queen charlotte islands","shoot"
65,"picea sitchensis","net photosynthesis rate",0.995745734228113,8.2066646,11.9318065793419,12.2495727460613,"terrestrial","neah bay, washington, usa","forest shoots"
66,"picea sitchensis","net photosynthesis rate",0.998244014162379,7.86279255,-0.080380485117832,-0.913342608205612,"terrestrial","neah bay, washington, usa","forest shoots"
67,"picea sitchensis","net photosynthesis rate",0.983703666056006,8.128541175,10.7404941892354,8.28567163371501,"terrestrial","neah bay, washington, usa","forest shoots"
68,"picea sitchensis","net photosynthesis rate",0.987878404655239,7.33100232166667,16.6201547707521,15.7871926476643,"terrestrial","neah bay, washington, usa","forest shoots"
69,"picea sitchensis","net photosynthesis rate",0.98480558722025,6.27039631166667,14.9702394030663,14.1372772799785,"terrestrial","neah bay, washington, usa","forest shoots"
70,"picea sitchensis","net photosynthesis rate",0.952708439091033,7.47044921666667,25.1640862773446,24.3311241542568,"terrestrial","neah bay, washington, usa","forest shoots"
71,"picea sitchensis","net photosynthesis rate",0.988258084976704,6.01823718571429,11.9419823626389,11.7256229588602,"terrestrial","neah bay, washington, usa","forest shoots"
72,"picea sitchensis","net photosynthesis rate",0.983864537863543,6.99054759142857,16.364939151913,16.1485797481343,"terrestrial","neah bay, washington, usa","forest shoots"
73,"picea sitchensis","net photosynthesis rate",0.915055257646117,0.2752977575,-13.2863035033628,-15.7411260588832,"terrestrial","neah bay, washington, usa","forest shoots"
74,"picea sitchensis","net photosynthesis rate",0.977357794716404,8.11924647571428,18.4282430237683,18.2118836199895,"terrestrial","neah bay, washington, usa","forest shoots"
75,"picea sitchensis","net photosynthesis rate",0.985495807476457,4.59680505,10.185025277,9.35206315391222,"terrestrial","neah bay, washington, usa","forest shoots"
76,"vitis vinifera","net photosynthesis rate",0.976644833322876,5.43530724444444,14.7834130889566,15.5723113983015,"terrestrial","merbein, victoria, australia","leaf"
77,"vitis vinifera","net photosynthesis rate",0.972578015637488,6.92334525714286,14.0657417421188,13.8493823383401,"terrestrial","merbein, victoria, australia","leaf"
78,"quercus pubescens","net photosynthesis rate",0.994164971463355,7.68175164,10.1368392398669,8.57459088960334,"terrestrial","bern, switzerland","leaf"
79,"quercus pubescens","net photosynthesis rate",0.996383669949185,6.87678284444445,9.22021258008016,10.009110889425,"terrestrial","bern, switzerland","leaf"
80,"triticum sativum","net photosynthesis rate",0.964555112491673,24.2288878571429,35.6853442992984,35.4689848955196,"terrestrial","vancouver, british columbia, canada","shoots (10-14 days old)"
81,"triticum sativum","net photosynthesis rate",0.92398651585785,30.617337,46.4278646131204,46.2115052093416,"terrestrial","vancouver, british columbia, canada","shoots (10-14 days old)"
82,"solanum tuberosum","net photosynthesis rate",0.982630873095251,24.6184362,24.6702660744068,23.1080177241432,"terrestrial","madison, wisconsin, usa","3rd leaf from top of plant at 6 leaf stage"
83,"coffea arabica","net photosynthesis rate",0.804593200693735,0.69456521375,3.65305996729318,3.97082613401252,"terrestrial","nairobi, kenya","15 month-old seedlings"
84,"coffea arabica","net photosynthesis rate",0.854716237881613,0.351923927777778,-13.2573455009002,-12.4684471915553,"terrestrial","nairobi, kenya","15 month-old seedlings"
85,"picea engelmannii","net photosynthesis rate",0.93777176594863,2.23139732857143,-4.25431338758233,-4.47067279136108,"terrestrial","carbondale, colorado, usa","seedling"
86,"populus tremuloides","net photosynthesis rate",0.927453263481354,9.5947492,8.40282557783464,6.84057722757104,"terrestrial","northen minnesota, usa",NA
87,"populus tremuloides","net photosynthesis rate",0.23494915348541,10.382774,25.0987961825043,23.5365478322407,"terrestrial","northen minnesota, usa",NA
88,"betula papynfera","net photosynthesis rate",0.635166220006886,13.73399,15.4758064153921,13.9135580651285,"terrestrial","northen minnesota, usa",NA
89,"betula papynfera","net photosynthesis rate",0.831893621336602,16.9458128,14.2284085607722,12.6661602105086,"terrestrial","northen minnesota, usa",NA
90,"larix laricina","net photosynthesis rate",0.174115786684587,4.745679,18.0632481530433,16.5009998027797,"terrestrial","northen minnesota, usa",NA
91,"larix laricina","net photosynthesis rate",0.123314040034502,6.37530864,22.8399729721621,21.2777246218985,"terrestrial","northen minnesota, usa",NA
92,"pinus banksiana","net photosynthesis rate",0.447743428183083,3.98154952,15.5670325753817,14.0047842251181,"terrestrial","northen minnesota, usa",NA
93,"pinus banksiana","net photosynthesis rate",0.404546875263971,4.91518308,14.7903548567772,13.2281065065136,"terrestrial","northen minnesota, usa",NA
94,"picea mariana","net photosynthesis rate",0.671448852164041,3.68560696,8.81185081745157,7.24960246718797,"terrestrial","northen minnesota, usa",NA
95,"picea mariana","net photosynthesis rate",0.461566804823693,4.96995446,21.470794330223,19.9085459799594,"terrestrial","northen minnesota, usa",NA
96,"populus tremuloides","net photosynthesis rate",0.986056244255676,259.57949,32.738614741489,31.1763663912254,"terrestrial","northen minnesota, usa",NA
97,"populus tremuloides","net photosynthesis rate",0.0687221817382856,234.978806,48.8394894333126,47.277241083049,"terrestrial","northen minnesota, usa",NA
98,"betula papynfera","net photosynthesis rate",0.584854973720202,281.535692,48.14469859175,46.5824502414864,"terrestrial","northen minnesota, usa",NA
99,"betula papynfera","net photosynthesis rate",0.0857319925037601,274.048006,52.8828368031125,51.3205884528489,"terrestrial","northen minnesota, usa",NA
100,"larix laricina","net photosynthesis rate",0.179704751384044,65.8809514,33.4865932072629,31.9243448569993,"terrestrial","northen minnesota, usa",NA
101,"larix laricina","net photosynthesis rate",0.331640692349912,80.8814088,39.7982791073385,38.2360307570749,"terrestrial","northen minnesota, usa",NA
102,"pinus banksiana","net photosynthesis rate",0.645759259207914,59.41032,40.6233255484446,39.061077198181,"terrestrial","northen minnesota, usa",NA
103,"pinus banksiana","net photosynthesis rate",0.20307628611546,70.90909,43.103866968243,41.5416186179794,"terrestrial","northen minnesota, usa",NA
104,"picea mariana","net photosynthesis rate",0.732042187137004,61.0372654,30.1720724715053,28.6098241212417,"terrestrial","northen minnesota, usa",NA
105,"picea mariana","net photosynthesis rate",0.637759079247617,73.027228,45.4988780087647,43.9366296585011,"terrestrial","northen minnesota, usa",NA
106,"glycine max","respiration rate",0.964742225303438,2.8165485016,13.2862584745656,18.1617617740384,"terrestrial","des moines, ia., usa","terminal leaflet of second trifoliate leaf (22 days after planting)"
107,"glycine max","gross photosynthesis rate",0.896278771001469,56.4749751052632,137.181507228976,140.959263145641,"terrestrial","des moines, ia., usa","terminal leaflet of second trifoliate leaf (22 days after planting)"
108,"quercus canariensis","respiration rate",0.785907879867881,0.920060333333333,6.05841287336235,5.22545075027457,"terrestrial","ain drahem, northern tunisia","mature current year leaves"
109,"quercus canariensis","net photosynthesis rate",0.961151486006007,12.8828031666667,16.3837750346017,15.5508129115139,"terrestrial","ain drahem, northern tunisia","mature current year leaves"
110,"sphagnum squarrosum","net photosynthesis rate",0.991702165633588,4.01051038571429,-9.53139737870248,-9.74775678248123,"terrestrial","philip smith mountains, alaska","upper shoot"
111,"sphagnum squarrosum","respiration rate",0.997072049646919,1.670917074,-4.76418164594385,-6.32642999620745,"terrestrial","philip smith mountains, alaska","upper shoot"
112,"sphagnum angustifolium","net photosynthesis rate",0.961090922590843,2.808371725,1.00289920298869,1.32066536970803,"terrestrial","philip smith mountains, alaska","upper shoot"
113,"sphagnum angustifolium","respiration rate",0.999803897647678,2.58439591833333,-17.4656540304654,-18.2986161535532,"terrestrial","philip smith mountains, alaska","upper shoot"
114,"sphagnum warnstorfii","net photosynthesis rate",0.979875032915292,2.55699664285714,-5.84792460565786,-6.06428400943661,"terrestrial","philip smith mountains, alaska","upper shoot"
115,"sphagnum warnstorfii","respiration rate",0.992023553873217,1.18550344066667,-4.54833128012835,-5.38129340321613,"terrestrial","philip smith mountains, alaska","upper shoot"
116,"agropyron smithii","net photosynthesis rate",0.978878947232411,2.01099830666667,-9.50734529525039,-7.56771869609839,"terrestrial","colorado, usa","leaf, 35 days old"
117,"agropyron smithii","net photosynthesis rate",0.917188928680359,2.89122552857143,5.1598023995477,7.71603171800874,"terrestrial","colorado, usa","leaf, 35 days old"
118,"agropyron smithii","net photosynthesis rate",0.929926484816212,3.94923860714286,5.73195342967834,8.28818274813937,"terrestrial","colorado, usa","leaf, 35 days old"
119,"nicotiana tabacum","net photosynthesis rate",0.952324577414044,10.43661972,19.6504064596463,18.0881581093827,"terrestrial","beijing, china","Youngest fully expanded leaf"
120,"nicotiana tabacum","net photosynthesis rate",0.969876579950007,14.2957748,9.36186766660176,7.79961931633816,"terrestrial","beijing, china","Youngest fully expanded leaf"
121,"nicotiana tabacum","net photosynthesis rate",0.94870701025797,12.9295772,16.0180515782671,14.4558032280035,"terrestrial","beijing, china","Youngest fully expanded leaf"
122,"nicotiana tabacum","net photosynthesis rate",0.973807777326605,13.680751,11.295218039759,9.73296968949543,"terrestrial","beijing, china","Youngest fully expanded leaf"
123,"nicotiana tabacum","net photosynthesis rate",0.971152387570248,14.5633801,13.3680679567653,11.8058196065017,"terrestrial","beijing, china","Youngest fully expanded leaf"
124,"nicotiana tabacum","net photosynthesis rate",0.958544625327172,11.66666658,17.1096521822995,15.5474038320359,"terrestrial","beijing, china","Youngest fully expanded leaf"
125,"nicotiana tabacum","net photosynthesis rate",0.957934364435242,9.995,19.817146454219,18.2548981039554,"terrestrial","beijing, china","Youngest fully expanded leaf"
126,"nicotiana tabacum","net photosynthesis rate",0.976724864695888,11.195,14.56193158622,12.9996832359564,"terrestrial","beijing, china","Youngest fully expanded leaf"
127,"nicotiana tabacum","net photosynthesis rate",0.961621471197551,12.25,16.3383067944077,14.7760584441441,"terrestrial","beijing, china","Youngest fully expanded leaf"
128,"nicotiana tabacum","net photosynthesis rate",0.959076997412275,13.17,14.758969700741,13.1967213504774,"terrestrial","beijing, china","Youngest fully expanded leaf"
129,"nicotiana tabacum","net photosynthesis rate",0.989572808737973,13.555,6.6966037009672,5.1343553507036,"terrestrial","beijing, china","Youngest fully expanded leaf"
130,"nicotiana tabacum","net photosynthesis rate",0.996412689000889,14.4,-3.34909970265019,-4.91134805291379,"terrestrial","beijing, china","Youngest fully expanded leaf"
132,"pinus sylvestris","net photosynthesis rate",0.904517058771831,2.484417962,12.9899886706921,11.4277403204285,"terrestrial","finland","seedlings"
133,"pinus sylvestris","net photosynthesis rate",0.981096576600743,5.046892764,12.8549053487059,11.2926569984423,"terrestrial","finland","seedlings"
136,"picea abies","net photosynthesis rate",1,0.32524154,-Inf,-Inf,"terrestrial","finland","seedlings"
137,"picea abies","net photosynthesis rate",0.998867979960814,1.0293532604,-16.8169566213081,-18.3792049715717,"terrestrial","finland","seedlings"
138,"gossypium hirsutum","net photosynthesis rate",0.904930450780805,26.0232605714286,35.4997279255373,35.2833685217586,"terrestrial","stanford, california, usa","leaf"
139,"geraea canescens","net photosynthesis rate",0.934743151828001,43.2375811275,43.3656558636581,43.6834220303774,"terrestrial","death valley, california, usa",NA
140,"geraea canescens","net photosynthesis rate",0.914107838373442,45.870394313,68.2500820530572,69.4604224250334,"terrestrial","death valley, california, usa",NA
141,"flaveria bidentis","net photosynthesis rate",0.945545111820255,28.59066025,52.8062359675642,53.1240021342836,"terrestrial","winnipeg, canada","leaf"
142,"arabidopsis","net photosynthesis rate",0.990170428781855,13.1204838375,18.4091845061059,21.499539395065,"terrestrial","urbana, illinois, usa",NA
143,"porphyra perforata","net photosynthesis rate",0.722474301493709,2.52639445625,25.5428774597764,25.8606436264958,"marine","pacific grove, california, usa","blade discs"
144,"Koliella antarctica","gross photosynthesis rate",0.720697076320514,69.8571428571429,63.9832130033849,63.7668535996061,"marine","Terra Nova Bay, Ross Sea, Antarctica",NA
145,"Koliella antarctica","respiration rate",0.903854129636213,12.5714285714286,31.8471837505711,31.6308243467924,"marine","Terra Nova Bay, Ross Sea, Antarctica",NA
146,"Chlorella saccharophila","gross photosynthesis rate",0.98025159841023,57.7285714285714,42.2210130578734,42.0046536540946,"freshwater / terrestrial","Antelao glacier",NA
147,"Chlorella saccharophila","respiration rate",0.865105777705184,15.9428571428571,39.6613731174688,39.44501371369,"freshwater / terrestrial","Antelao glacier",NA
148,"Chlorella sorokiniana","gross photosynthesis rate",0.887451831390745,68.15,72.100748013238,72.4185141799574,"freshwater / terrestrial","Culture collection of Algae and protozoa Cambridge University",NA
149,"Chlorella sorokiniana","respiration rate",0.838184663536776,2.7,22.9056214843634,22.6892620805847,"freshwater / terrestrial","Culture collection of Algae and protozoa Cambridge University",NA
150,"Agave deserti","respiration rate",0.972892475597317,2.14706439461539,7.10289097266226,9.36268840250841,"terrestrial","Agave Hill, palm desert, california","root (2 years old)"
151,"Agave deserti","respiration rate",0.977334238739311,2.44013877428571,7.28429480903192,7.06793540525317,"terrestrial","Agave Hill, palm desert, california","root (2 years old)"
152,"Agave deserti","respiration rate",0.772732074873541,7.65236747857143,69.2375757920276,71.7938051104886,"terrestrial","Agave Hill, palm desert, california","root (5 weeks old)"
153,"Agave deserti","respiration rate",0.684408343198016,7.27643002727273,57.3651973394909,58.9567784306844,"terrestrial","Agave Hill, palm desert, california","root (5 weeks old)"
154,"Agave deserti","respiration rate",0.801460529602159,9.22458439333333,75.280922738922,78.1131235433309,"terrestrial","Agave Hill, palm desert, california","root (6 weeks old)"
155,"Agave deserti","respiration rate",0.947533599375199,8.48744354285714,57.2397687729968,59.7959980914578,"terrestrial","Agave Hill, palm desert, california","root (6 weeks old)"
156,"Agave deserti","respiration rate",0.736240441723806,17.9620016681818,141.34239304152,145.706562854953,"terrestrial","Agave Hill, palm desert, california","root (1 week old)"
157,"Agave deserti","respiration rate",0.760016868098726,17.2029203818182,141.11794425574,145.482114069173,"terrestrial","Agave Hill, palm desert, california","root (1 week old)"
158,"Carex aquatilis","net photosynthesis rate",0.942768294983752,13.966131,24.7470136801473,25.0647798468667,"terrestrial","muskeg at Circle Hot Springs, Alaska","leaf"
159,"Carex aquatilis","net photosynthesis rate",0.968596579715808,13.8155290444444,29.7826837612664,30.5715820706112,"terrestrial","muskeg at Circle Hot Springs, Alaska","leaf"
160,"Carex aquatilis","net photosynthesis rate",0.860646808200543,12.5319866625,33.0736166274171,33.3913827941364,"terrestrial","hot spring marsh at Circle Hot Springs, Alaska","leaf"
161,"Carex aquatilis","net photosynthesis rate",0.92856052877087,11.9661755444444,29.3988451102768,30.1877434196217,"terrestrial","hot spring marsh at Circle Hot Springs","leaf"
162,"Carex aquatilis","net photosynthesis rate",0.930606489976684,10.6038105,25.3136315770265,25.6313977437459,"terrestrial","alpine site near Boulder, Colorado","leaf"
163,"Carex aquatilis","net photosynthesis rate",0.894257725370651,8.8815923125,20.1813180385378,20.4990842052571,"terrestrial","alpine site near Boulder, Colorado","leaf"
164,"Carex aquatilis","net photosynthesis rate",0.983026821910707,12.354025075,19.8403784643331,20.1581446310524,"terrestrial","subalpine near Boulder, Colorado","leaf"
165,"Carex aquatilis","net photosynthesis rate",0.983985834342513,8.43915333333333,13.9272992251819,14.7161975345268,"terrestrial","subalpine near Boulder, Colorado","leaf"
166,"Carex aquatilis","net photosynthesis rate",0.964432587091185,21.7358871428571,26.6763242004543,26.4599647966755,"terrestrial","muskeg ar Circle Hot Springs, Alaska","leaf"
167,"Carex aquatilis","net photosynthesis rate",0.912949177444293,18.9602685555556,45.9847658907556,46.7736642001005,"terrestrial","muskeg ar Circle Hot Springs, Alaska","leaf"
168,"Carex aquatilis","net photosynthesis rate",0.969007070427751,17.8774005,27.2889176099818,27.6066837767011,"terrestrial","hot spring marsh at Circle Hot Springs, Alaska","leaf"
169,"Carex aquatilis","net photosynthesis rate",0.991724796390114,16.728953125,15.8798011888607,16.19756735558,"terrestrial","hot spring marsh at Circle Hot Springs","leaf"
170,"Carex aquatilis","net photosynthesis rate",0.956446537031737,16.859331,24.2997754114907,24.083416007712,"terrestrial","alpine site near Boulder, Colorado","leaf"
171,"Carex aquatilis","net photosynthesis rate",0.913910835175003,12.92393575,24.4270347355821,24.7448009023014,"terrestrial","alpine site near Boulder, Colorado","leaf"
172,"Carex aquatilis","net photosynthesis rate",0.966032448906188,19.1066031428571,28.7599837174359,28.5436243136571,"terrestrial","subalpine near Boulder, Colorado","leaf"
173,"Carex aquatilis","net photosynthesis rate",0.898023102626633,12.0945834375,35.8933708745846,36.211137041304,"terrestrial","subalpine near Boulder, Colorado","leaf"
174,"Acer saccharum","net photosynthesis rate",0.905480974598508,12.7523232428571,30.5130551515125,30.2966957477337,"terrestrial","hubbard brook, experimental forest, west thornton, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
175,"Acer saccharum","net photosynthesis rate",0.99252965332219,8.9114474,4.9981943038394,4.78183490006065,"terrestrial","hubbard brook, experimental forest, west thornton, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
176,"Acer saccharum","net photosynthesis rate",0.9478429213129,4.9710111,12.0505902172743,11.8342308134955,"terrestrial","hubbard brook, experimental forest, west thornton, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
177,"Acer saccharum","net photosynthesis rate",0.958541821961161,8.04532492857143,16.1330142955925,15.9166548918138,"terrestrial","hubbard brook, experimental forest, west thornton, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
178,"Acer saccharum","net photosynthesis rate",0.99206626069446,8.60429934285714,4.56440093951163,4.34804153573289,"terrestrial","hubbard brook, experimental forest, west thornton, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
179,"Acer saccharum","net photosynthesis rate",0.914891849020119,11.4921475,25.0490025238514,24.8326431200726,"terrestrial","sawyer highway, north woodstock, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
180,"Acer saccharum","net photosynthesis rate",0.958637220967764,7.6420651,14.7909842014308,14.5746247976521,"terrestrial","sawyer highway, north woodstock, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
181,"Acer saccharum","net photosynthesis rate",0.94235533616711,7.27726385714286,16.046297233112,15.8299378293333,"terrestrial","sawyer highway, north woodstock, new hampshire","3 year old seedlings which had ceased stem elongation and formed resting buds"
