"Species" "Distance.m" "Angle.degrees" "Tree.Height.m"
"Pinus sylvestris" 49.7625944949687 35.1144014263991 98.5385011376834
"Populus tremula" 46.3471551518887 29.2238053563051 60.6258113974717
"Fraxinus excelsior" 48.8101416407153 30.1879840833135 68.0225849839445
"Betula pendula" 39.1205159528181 40.7153382652905 130.293088068808
"Pinus sylvestris" 32.091398476623 33.0367860780098 54.4069967535949
"Fraxinus excelsior" 30.7957392046228 36.5876288549043 68.7087052185436
"Fraxinus excelsior" 39.4369949353859 36.0758849116974 84.3291310358645
"Carpinus betulus" 39.9332950264215 23.9536876312923 37.3906729057972
"Quercus robur" 47.7163779549301 31.0238172404934 70.3256500817538
"Quercus robur" 49.7508854558691 35.125136054121 98.5979358293751
"Metasequoia glyptostroboides" 40.6481830682606 30.138981079217 56.4642330748978
"Alnus glutinosa" 39.0966060291976 20.8493582543451 30.0311647342053
"Betula pendula" 38.8727945787832 22.9332405712921 34.1263494144421
"Carpinus betulus" 47.0151513628662 30.629521345254 67.4777758645978
"Alnus glutinosa" 34.5093661732972 25.6323324737605 35.9084214332738
"Populus tremula" 32.0270016696304 30.797824623296 46.4883929638727
"Carpinus betulus" 36.4183936547488 40.8025922765955 122.511833911198
"Alnus glutinosa" 35.0219672126696 22.6937661168631 30.2822207644259
"Ginkgo biloba" 40.2515866607428 24.2476485599764 38.3924249289621
"Alnus glutinosa" 49.314148882404 24.237724567065 47.007047413625
"Pinus sylvestris" 41.1222059605643 21.0549149999861 32.0114349006331
"Alnus glutinosa" 32.3566586244851 39.6630597871263 96.1098386183739
"Populus tremula" 39.0768380276859 28.8852869695984 50.0044076070262
"Betula pendula" 34.7624337533489 30.1337608066387 48.2716637216785
"Populus tremula" 41.9296419201419 40.5908210249618 137.691093761653
"Ginkgo biloba" 36.9634854933247 42.9492065787781 164.134412449828
"Alnus glutinosa" 44.7396824741736 28.3564685541205 55.3310860514941
"Betula pendula" 40.0541249988601 36.7069853108842 90.2705864506726
"Carpinus betulus" 42.3438745737076 22.6408458594233 36.4903529677838
"Quercus robur" 42.641541226767 27.5769322866108 50.1718684406412
"Quercus robur" 43.9628482470289 39.0075231716037 122.202122386229
"Carpinus betulus" 31.7523087095469 41.3719389925245 114.258827537281
"Metasequoia glyptostroboides" 36.7305195052177 25.2483093517367 37.3080967192959
"Fagus sylvatica" 35.2053026808426 26.6025140462443 38.9413321732557
"Ginkgo biloba" 37.1359657170251 25.7740561838727 38.9874771486305
"Betula pendula" 49.0705289924517 22.1340628678445 40.9440031517033
"Ginkgo biloba" 37.7177836187184 38.4513014333788 99.3572361402195
"Quercus robur" 38.6944898404181 28.8151913310867 49.2910295990341
"Metasequoia glyptostroboides" 43.7934040511027 43.4747779497411 210.629730728604
"Quercus robur" 31.1318424111232 36.4222790568601 68.502929173968
"Fraxinus excelsior" 46.5926557453349 40.0547198357526 144.240690465961
"Fagus sylvatica" 46.8141130637378 42.2744762897491 189.082952023232
"Metasequoia glyptostroboides" 43.3638163143769 25.2968545409385 44.1802726962899
"Metasequoia glyptostroboides" 43.2250146940351 29.3812054779846 57.1250484301305
"Metasequoia glyptostroboides" 30.3724726615474 26.0244086605962 32.3931401837481
"Ginkgo biloba" 36.2616367125884 26.9264538411517 40.9396760380346
"Fraxinus excelsior" 43.0547891696915 38.551938253222 114.505898131852
"Metasequoia glyptostroboides" 31.8466471461579 27.0579518273007 36.2557819741803
"Pinus sylvestris" 32.148510729894 43.5628935683053 156.798837447733
"Carpinus betulus" 31.9652264704928 32.4111447832547 51.8371461116261
"Alnus glutinosa" 33.2068143971264 39.2829246632755 94.8729515360656
"Ginkgo biloba" 46.2207302916795 22.6515088393353 39.8582705337851
"Populus tremula" 34.6725190524012 29.0177269594278 44.7509811864351
"Metasequoia glyptostroboides" 31.6282911319286 27.4797301611397 36.9842550138043
"Pinus sylvestris" 42.4521899130195 36.4182837354019 93.3812563705019
"Carpinus betulus" 44.0396487526596 26.9310160295572 49.7354734162855
"Quercus robur" 47.0961082773283 43.5438830161002 229.007969895225
"Populus tremula" 32.2839726274833 32.886884593172 54.149115446259
"Fraxinus excelsior" 49.0115680545568 30.479611356277 69.6415443045238
"Populus tremula" 43.1407250231132 28.9061927516013 55.2795254088892
"Ginkgo biloba" 45.5459984904155 32.2224305989221 72.8898958234956
"Carpinus betulus" 31.2111467495561 39.5559814048465 91.6861619373936
"Fraxinus excelsior" 42.0305995130911 37.7148740214761 103.440374231503
"Metasequoia glyptostroboides" 31.918618218042 43.9337977429386 165.452981468534
"Pinus sylvestris" 41.8378670746461 30.7671553385444 60.6041620307132
"Metasequoia glyptostroboides" 44.3048819759861 44.4214324338827 250.207586176236
"Populus tremula" 33.7106570415199 22.4894612724893 28.7723239994788
"Metasequoia glyptostroboides" 44.3288471642882 37.6085923507344 108.060541172483
"Ginkgo biloba" 38.8612799486145 23.7011940556113 35.8126530389456
"Quercus robur" 40.2974182832986 41.5249906526878 147.758235367047
"Pinus sylvestris" 39.4655588641763 42.5670967833139 165.925915973274
"Metasequoia glyptostroboides" 31.1997501179576 36.4470520627219 68.7944470966931
"Fraxinus excelsior" 49.7581105213612 20.4188025603071 37.1613443053818
"Ginkgo biloba" 39.0433466527611 35.7310830720235 81.1839085795481
"Quercus robur" 37.2985610784963 30.0138944864739 51.3842179958112
"Metasequoia glyptostroboides" 42.3745733685791 33.7517177441623 75.6748240307784
"Ginkgo biloba" 40.405092779547 33.9635875006206 73.2978515805128
"Betula pendula" 40.3485652338713 32.1756120526697 64.3612970256052
"Ginkgo biloba" 47.1486219018698 26.6794721642509 52.4062321466819
"Ginkgo biloba" 33.7005372857675 20.654582423158 25.5599407058209
"Carpinus betulus" 30.6755190063268 26.8811376637314 34.5337270236518
"Quercus robur" 31.8700994597748 23.1649143493269 28.392075784346
"Fagus sylvatica" 37.50953507144 36.5860947454348 83.6771218997926
"Carpinus betulus" 46.1398328468204 43.9787996921223 241.001302692203
"Ginkgo biloba" 39.7066187299788 29.9145355867222 54.3440325598523
"Alnus glutinosa" 41.0378486057743 22.0238169818185 34.0012132105551
"Pinus sylvestris" 33.4058833960444 35.9963867568877 70.9702038062716
"Carpinus betulus" 39.501561964862 30.2981362491846 55.4541352724271
"Fagus sylvatica" 43.9889151183888 27.0793361170217 50.1470396425187
"Carpinus betulus" 37.8497270308435 38.5734353668522 100.869567709351
"Alnus glutinosa" 43.5288517223671 36.761984070763 98.5606420629661
